title,author,genre,rating,price,stock
The Silent Patient,James Clear,Thriller,3.9,299,In Stock
Atomic Habits,James Clear,Self-help,4.5,350,In Stock
Educated,James Clear,Memoir,4.2,420,Out of Stock
Becoming,George Orwell,Autobiography,4.8,500,In Stock
The Alchemist,George Orwell,Fiction,3.7,280,Out of Stock
The Midnight Library,Alex Michaelides,Fiction,4.1,310,In Stock
The Book Thief,Alex Michaelides,Historical Fiction,4.4,400,In Stock
1984,Paulo Coelho,Dystopian,4.6,275,Out of Stock
To Kill a Mockingbird,Matt Haig,Classic,4.9,390,In Stock
Sapiens,Yuval Noah Harari,History,4.3,450,Out of Stock
